feature,gain,split
District,124251.17727100849,2501
Neighborhood_te,113553.21140182018,590
District_te,60395.89358365536,376
net_x_gross,56406.246059179306,467
m²_(Gross),54024.2994338274,560
gross_sqrt,53777.010197758675,542
Neighborhood,26273.747901678085,1575
net_sqrt,20444.537133336067,188
Number_of_bathrooms,20096.826146245003,256
Number_of_rooms_te,16474.135243415833,111
m²_(Net),16128.109314084053,213
Number_of_rooms,11045.108259677887,416
Heating,8800.519495248795,380
Floor_location,8575.672606110573,615
Air_conditioning,6535.742721557617,149
Parents'_Bathroom,4830.896044135094,76
Closed_Garage,3737.9163697957993,341
Generator,3479.6836565732956,173
Built-in_on,2743.3452743291855,237
Building_Age,2565.708024740219,841
Floor_location_te,2402.974763274193,69
Swap,2012.160640835762,251
Number_of_floors,1839.5684895515442,273
total_rooms,1539.2149727344513,15
Sea,1538.1609734296799,301
Security,1431.0985306501389,165
Alaturka_Toilet,1368.6869740486145,161
net_gross_ratio,875.9651907682419,323
Kitchen_(Built-in),790.5577973127365,135
Garden_Floor,716.8923709392548,112
Mezzanine,700.049889087677,151
Roof_Duplex,698.2134392261505,271
Balcony,645.2437765598297,117
District_Market,621.4321098327637,203
Cemevi,380.7427411079407,129
Minibus,377.491149187088,126
Number_of_floors_te,337.1540539264679,37
Rerse_Duplex,309.00661039352417,148
Dishwasher,260.14002680778503,20
Doorman,229.93451738357544,17
Elevator.1,173.6252989768982,36
TEM,152.2631093263626,74
Room_door,152.05524015426636,63
Cloakroom,116.43170762062073,22
Stairs,108.38262021541595,55
Scaffolding,92.10679817199707,4
Kitchen_(Laminate),81.45726013183594,47
Swimming_Pool_(Open),76.69042992591858,20
Pick_Up_Data_Time,70.0368801355362,8
Swimming_Pool_(Indoor),66.64991962909698,14
Booster,63.97989058494568,12
Water_tank,63.12259018421173,10
Set_Top_Cooker,60.88460159301758,1
Closet,39.806389689445496,9
Mosque,37.14883005619049,17
Laminate_Floor,31.260519981384277,14
Car_park,26.687119722366333,4
Handle_/_Railing,25.35273027420044,5
The_health_clinic,23.323930263519287,9
E-5,18.770609855651855,10
The_church,18.007360458374023,2
Tennis_court,17.37350082397461,1
Metro,17.260549545288086,2
From_who,15.494199752807617,1
Adrtisement_Date,15.0245201587677,4
Toilet,10.94944977760315,4
Bathroom,10.829059839248657,2
Marley,10.434399604797363,1
Playground,9.161839962005615,2
Filled,8.757759928703308,4
Water_heater,8.327709913253784,7
Sports_Area,6.7589802742004395,2
Using_status,6.271470069885254,2
Throat,6.04994010925293,1
Mezzanine_Duplex,4.713650107383728,3
High_school,3.652559995651245,1
Primary_School-Secondary_School,3.458500027656555,2
Pick_Up_Data_Time_month,3.4222500324249268,1
Metrobus,3.017840027809143,2
Socket_/_Electric_Switch,2.8475699424743652,1
Spot_Lighting,2.4553000926971436,1
Fire_Department,1.9665499925613403,1
On,1.2512199878692627,1
Fair,1.2452800273895264,1
Adrtisement_Date_month,1.1283299922943115,1
Kitchen,1.0850499868392944,1
Furniture,0.0,0
Washing_Machine,0.0,0
Face_Recognition_&_Fingerprint,0.0,0
Wi-Fi,0.0,0
Thermosiphon,0.0,0
Terrace,0.0,0
Blinds,0.0,0
Parquet_Floor,0.0,0
Ceramic_Floor,0.0,0
Kitchen_Natural_Gas,0.0,0
Balcony.1,0.0,0
Household_appliances,0.0,0
Barbecue,0.0,0
Painted,0.0,0
Refrigerator,0.0,0
Wall_paper,0.0,0
Shower,0.0,0
Front_South,0.0,0
Front_East,0.0,0
Front_West,0.0,0
Front_North,0.0,0
Furnished,0.0,0
ADSL,0.0,0
Wood_Joinery,0.0,0
Smart_House,0.0,0
Alarm_(Fire),0.0,0
Aluminum_joinery,0.0,0
PVC_Joinery,0.0,0
Insulating_glass,0.0,0
Cellar,0.0,0
Plasterboard,0.0,0
Jacuzzi,0.0,0
Tub,0.0,0
Fiber_Internet,0.0,0
Dressing_room,0.0,0
Hilton_Bathroom,0.0,0
Intercom_System,0.0,0
Video_intercom,0.0,0
American_Door,0.0,0
American_kitchen,0.0,0
Alarm_(Thief),0.0,0
Elevator,0.0,0
Elevator.2,0.0,0
Satellite,0.0,0
Fire_escape,0.0,0
Sauna,0.0,0
Parking_Lot,0.0,0
Nursery,0.0,0
Washing_machine,0.0,0
Town_center,0.0,0
Unirsity,0.0,0
Police_station,0.0,0
Gym,0.0,0
Synagogue,0.0,0
Hospital,0.0,0
Market,0.0,0
Park.1,0.0,0
Amusement_center,0.0,0
Wide_Corridor,0.0,0
Entrance_/_Ramp,0.0,0
Swimming_pool,0.0,0
municipality,0.0,0
The_mall,0.0,0
Next_to_sea_shore,0.0,0
Pharmacy,0.0,0
Park,0.0,0
Cable_TV,0.0,0
Bath,0.0,0
Thermal_Insulation,0.0,0
Steel_door,0.0,0
Laundry_room,0.0,0
Fireplace,0.0,0
Steam_room,0.0,0
Sound_insulation,0.0,0
Siding,0.0,0
With_Private_Pool,0.0,0
Cable_car,0.0,0
Airport,0.0,0
Sea_bus,0.0,0
Highway,0.0,0
Eurasia_Tunnel,0.0,0
Garden,0.0,0
Garden_Duplex,0.0,0
Park_&_​​Green_Area,0.0,0
City,0.0,0
Pool,0.0,0
Railway_station,0.0,0
Nature,0.0,0
Lake,0.0,0
Tram,0.0,0
Trolley_bus,0.0,0
Bosphorus_Bridges,0.0,0
Street,0.0,0
Marmaray,0.0,0
Bus_stop,0.0,0
Coast,0.0,0
Top_floor,0.0,0
Pick_Up_Data_Time_dayofweek,0.0,0
Adrtisement_Date_dayofweek,0.0,0
Adrtisement_Date_day,0.0,0
Adrtisement_Date_year,0.0,0
Floor_Duplex,0.0,0
Private_Entry,0.0,0
Triplex,0.0,0
Ground_floor,0.0,0
Garage_/_Shop_Top,0.0,0
Entrance_floor,0.0,0
listing_age_days,0.0,0
building_age_squared,0.0,0
amenity_count,0.0,0
has_net_area,0.0,0
amenity_density,0.0,0
Adrtisement_Date_te,0.0,0
